SmartBooksMedia;1,403;25800000.0;10,743,815,307;38500.0;375;1782;1782;1272;2596
MrBeast6000;712;25800000.0;3,810,015,332;6200000.0;115;4365324;4365324;2723;27545
DaddyYankeeOFFTV;349;25800000.0;9,374,163,510;34900000.0;4,761;12514509;12514509;21665;17313
yrf;3,739;25200000.0;13,340,892,741;1200000.0;7,475;3956561;3956561;20635;51
smosh;1,085;25000000.0;9,061,909,396;2900000.0;1,992;2974096;2974096;44824;20121
VanossGaming;1,082;24900000.0;11,772,815,256;3500000.0;120;3144271;3144271;7918;1866
qzMendShawqz;88;24200000.0;291,452,772;53900000.0;2,211;24122199;24122199;14912;7042
lady16makeup;618;24100000.0;2,448,990,366;15200000.0;525;10959835;10959835;13548;24170
NoCopyrightSounds;681;24000000.0;6,925,031,601;258800.0;322;120242;120242;3801;46530
tipsmusic;2,700;23500000.0;10,028,978,753;178100.0;3,217;1071721;1071721;12146;11508
aajtaktv;95,008;23200000.0;6,340,948,497;2700000.0;11200.0;8553848;8553848;364564;16686
shane;1,696;23100000.0;5,366,326,990;11800000.0;4,512;9397643;9397643;32158;19435
jacksepticeye;4,327;23000000.0;11,776,537,843;6500000.0;974;5639823;5639823;11634;46653
ABSCBNOnline;131,888;22900000.0;30,836,079,491;1500000.0;9,571;1131977;1131977;120122;3069
JbalvinTube;43;22700000.0;117,359,090;34600000.0;12000.0;6672562;6672562;30503;77
WorldStarHipHopTV;4,515;22300000.0;14,262,130,774;22100000.0;77000.0;3967567;3967567;28431;231
enchufetv;1,241;21800000.0;7,775,658,293;3100000.0;2,493;1438490;1438490;6216;1097
WatchMojo;17,367;21500000.0;12,764,424,681;184800.0;1,796;54381;54381;46097;5230
nigahiga;399;21300000.0;4,147,110,552;2400000.0;555;1979858;1979858;26313;5281
davidguettavevo;525;20900000.0;11,956,445,956;8500000.0;1,253;21266934;21266934;5357;3870
erosentertainment;10,093;20800000.0;12,166,654,539;604000.0;12100.0;831606;831606;42452;7788
LosPolinesios;495;20800000.0;4,265,418,564;3900000.0;444;1446950;1446950;6526;22660
SMTOWN;3,922;20400000.0;15,518,492,033;6900000.0;1,289;7951831;7951831;6668;343
ImagineDragons;51;20200000.0;19,723,710;5000000.0;1,572;5990881;5990881;8215;775
JennaMarbles;474;20000000.0;3,378,354,420;5500000.0;1,076;5312138;5312138;14680;28326
TheOfficialLoganPaul;654;20000000.0;4,757,959,874;16800000.0;920;5168903;5168903;8857;19940
jbalvinVEVO;33;20000000.0;5,717,353,447;34600000.0;12000.0;6672562;6672562;30503;77
tv3official;65,949;19900000.0;14,379,338,332;525600.0;31200.0;52726;52726;45144;2624
NickiMinajTelevision;20;19900000.0;91,868,969;108200000.0;6,034;20568656;20568656;42290;85109
filmigaane;6,346;29400000.0;13,868,111,239;1,910;367;288;288;544;135
CollinsKey;241;19700000.0;4,092,319,547;2500000.0;445;317671;317671;14315;7359
JakePaulProductions;835;19700000.0;6,265,232,880;12600000.0;966;3696979;3696979;10518;8372
taylorgangent;474;19600000.0;9,242,045,868;29000000.0;6,952;35158372;35158372;46426;168
NickyJamTV;243;19600000.0;12,388,800,011;34800000.0;10400.0;2568564;2568564;9032;70
BuzzFeedVideo;6,454;19600000.0;16,049,904,358;1100000.0;331;131341;131341;16030;8473
TheOfficialSkrillex;168;19000000.0;5,235,791,419;8800000.0;261;6392310;6392310;14259;3850
davidguettavevo;525;20900000.0;11,956,445,956;4000000.0;6,899;21266934;21266934;5357;3870
CanalCanalha;223;19000000.0;1,392,098,582;13400000.0;1,322;7985809;7985809;751;534
AuronPlay;396;18900000.0;2,457,774,432;7200000.0;765;4817602;4817602;34010;129704
